번호,기관,집행부서,집행일,집행유형,집행구분,집행대상,집행인원,집행액(천원),비고
1,시책,기획예산과,2022-02-25,업무추진을 위한 각종 회의·간담회·행사,식사,제안제도 담당자 및 관계자,3,31,카드
2,시책,기획예산과,2022-02-25,업무추진을 위한 각종 회의·간담회·행사,식사,규제개혁 추진업무 담당자 및 관계자,6,54,제로페이
3,시책,기획예산과,2022-02-24,업무추진을 위한 각종 회의·간담회·행사,식사,"기획재정국장 및 담당자, 관계자 등",6,141,카드
4,시책,기획예산과,2022-02-24,업무추진을 위한 각종 회의·간담회·행사,다과,예산성과보고서 업무 담당자 및 관계자,20,128,제로페이
5,시책,기획예산과,2022-02-22,업무추진을 위한 각종 회의·간담회·행사,식사,총괄 및 지표담당자 등,5,60,카드
6,시책,기획예산과,2022-02-22,업무추진을 위한 각종 회의·간담회·행사,식사,"기획예산과장, 기획예산과 직원",4,48,제로페이
7,시책,기획예산과,2022-02-22,업무추진을 위한 각종 회의·간담회·행사,식사,"기획재정국장, 지시사항 추진 담당자 등",5,155,카드
8,시책,기획예산과,2022-02-22,업무추진을 위한 각종 회의·간담회·행사,식사,"기획예산과장, 보고과제 담당 부서 관계자",6,175,제로페이
9,시책,기획예산과,2022-02-21,업무추진을 위한 각종 회의·간담회·행사,다과,재정공시 업무 담당자 및 관계자,30,120,제로페이
10,시책,기획예산과,2022-02-18,업무추진을 위한 각종 회의·간담회·행사,식사,연구용역 관련 관계자,4,36,제로페이
11,시책,기획예산과,2022-02-17,업무추진을 위한 각종 회의·간담회·행사,식사,기획예산과 및 논의안건 관계부서,6,135,제로페이
12,시책,기획예산과,2022-02-17,업무추진을 위한 각종 회의·간담회·행사,식사,기금결산 부서 담당자 및 관계자,15,378,제로페이
13,시책,기획예산과,2022-02-17,업무추진을 위한 각종 회의·간담회·행사,다과,국민신문고 제안 관련 관계자,3,15,제로페이
14,시책,기획예산과,2022-02-17,업무추진을 위한 각종 회의·간담회·행사,식사,제안제도 담당자 및 관계자,3,30,제로페이
15,시책,기획예산과,2022-02-17,업무추진을 위한 각종 회의·간담회·행사,식사,신속집행부서 담당자 및 관계자,4,52,제로페이
16,시책,기획예산과,2022-02-11,업무추진을 위한 각종 회의·간담회·행사,식사,"기획재정국장, 관계부서장 및 주무팀장",6,120,카드
17,시책,기획예산과,2022-02-10,업무추진을 위한 각종 회의·간담회·행사,다과,기획예산과 직원 등,4,30,카드
18,시책,기획예산과,2022-02-10,업무추진을 위한 각종 회의·간담회·행사,식사,송무수행부서관계자,6,58,제로페이
19,시책,기획예산과,2022-02-08,업무추진을 위한 각종 회의·간담회·행사,식사,"기획재정국장, 기획예산과장, 사업담당자",6,143,카드
20,시책,기획예산과,2022-02-08,업무추진을 위한 각종 회의·간담회·행사,식사,교통.복지.보건 등 사회필수업무 추진부서 관계자 총15명 내외,5,300,제로페이
21,시책,기획예산과,2022-02-08,업무추진을 위한 각종 회의·간담회·행사,식사,"기획재정국장, 부서팀장",6,54,카드
22,시책,기획예산과,2022-02-04,업무추진을 위한 각종 회의·간담회·행사,다과,"기획재정국장, 부서별 담담직원",5,19,카드
23,시책,기획예산과,2022-02-03,업무추진을 위한 각종 회의·간담회·행사,식사,"기획예산과장, 기획예산과 직원",6,140,제로페이
