번호,기관,집행부서,집행일,집행유형,집행구분,집행대상,집행인원,집행액(천원),비고
1,시책,기획예산과,2022-01-28,업무추진을 위한 각종 회의·간담회·행사,식사,제안제도 담당자 및 관계자,4,36,제로페이
2,시책,기획예산과,2022-01-27,업무추진을 위한 각종 회의·간담회·행사,다과,"기획재정국장, 지시사항 수행 직원 등",5,25,카드
3,시책,기획예산과,2022-01-26,업무추진을 위한 각종 회의·간담회·행사,식사,현안업무담당 및 관계부서 직원,6,94,카드
4,시책,기획예산과,2022-01-25,업무추진을 위한 각종 회의·간담회·행사,식사,현안업무 담당 부서 직원,6,84,카드
5,시책,기획예산과,2022-01-21,업무추진을 위한 각종 회의·간담회·행사,식사,지방보조금담당 부서 담당자 및 관계자,6,88,제로페이
6,시책,기획예산과,2022-01-21,업무추진을 위한 각종 회의·간담회·행사,음료,기획예산과 및 관련부서 직원,5,27,카드
7,시책,기획예산과,2022-01-20,업무추진을 위한 각종 회의·간담회·행사,음료,서울지역 주제발표 참가자,5,26,카드
8,시책,기획예산과,2022-01-19,업무추진을 위한 각종 회의·간담회·행사,식사,자치분권 서울.경기지역실무자,6,180,카드
9,시책,기획예산과,2022-01-18,업무추진을 위한 각종 회의·간담회·행사,식사,기금운용 부서담당자 및 관계자,6,133,제로페이
10,시책,기획예산과,2022-01-11,업무추진을 위한 각종 회의·간담회·행사,다과,회의참석 위원 및 관계직원,14,110,제로페이
11,시책,기획예산과,2022-01-07,업무추진을 위한 각종 회의·간담회·행사,다과,도시관리공단 업무 담당자 및 관계자,6,96,제로페이
12,시책,기획예산과,2022-01-05,업무추진을 위한 각종 회의·간담회·행사,식사,투자심사 해다 부서담당자 및 관계자(분산실시),15,250,카드
