2022년 5월  업무추진비 사용내역,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  (단위 : 원)
연번,사용자,사용일,시간,장소,집행목적,대상인원수,금액,결제방법,비목
1,언론팀장,2022-05-02,12:44:18,우리네코다리,개별공시지가 결정공시 이의신청 접수 홍보 간담회,8,"114,000 ",법인카드,시책
2,언론팀장,2022-05-04,13:09:56,（주）락희앤컴퍼니－,중장년 남성 건강밥상 요리교실 운영 등 홍보 간담회,10,"226,000 ",법인카드,시책
3,언론팀장,2022-05-04,18:28:09,조선화로정육,달마을근린공원 리노베이션 완료 홍보 간담회,5,"136,000 ",법인카드,시책
4,홍보과장,2022-05-06,12:45:29,미꼬담　부천까치울점,스마트 양천 미래교육센터 수강생 모집 홍보 간담회,5,"80,000 ",법인카드,시책
5,담당자,2022-05-10,10:53:44,（주）이마트목동점,구정홍보영상 출연자 및 관계자 접대용 다과,다과,"38,940 ",법인카드,시책
6,담당자,2022-05-10,11:27:11,얼음　대왕　아이스크,구정홍보영상 출연자 및 관계자 접대용 다과,다과,"59,200 ",법인카드,시책
7,담당자,2022-05-11,15:38:21,ＳＳＧ．ＣＯＭ,구정홍보실 운영 및 내방객 다과,다과,"96,798 ",법인카드,시책
8,언론팀장,2022-05-12,20:29:49,（주）용형호제　락희,폭염대비 종합대책 가동 홍보 간담회,10,"267,000 ",법인카드,시책
9,언론팀장,2022-05-13,12:36:09,뽕잎사랑,여름철 폭염대책 홍보 간담회,3,"39,000 ",법인카드,시책
10,담당자,2022-05-16,11:59:42,광수사,어르신소식지 6월호 발행 관련 기획회의 간담회,6,"78,000 ",제로페이,시책
11,담당자,2022-05-17,13:45:04,호호반점목동직영점,양천TV 기획영상 촬영 간담회,8,"87,200 ",법인카드,시책
12,언론팀장,2022-05-17,12:26:55,억조１９７８,신트리공원 도심속 모내기체험 행사 등 구정홍보 간담회,5,"95,000 ",법인카드,시책
13,담당자,2022-05-19,11:50:25,선식당 목동점,양천디지털미디어센터 운영 업무협의 간담회,7,"79,600 ",제로페이,시책
14,담당자,2022-05-20,19:28:08,낙지와볼테기,홈페이지 선거인명부 구축 업무 협의 간담회,3,"60,000 ",제로페이,시책
15,홍보과장,2022-05-23,12:42:43,우리네코다리,소소한 걷기 컵홀더 배부 관련 간담회,5,"84,000 ",법인카드,시책
16,담당자,2022-05-23,21:13:38,오빠초밥,발달장애인 실종 방지 스마트지킴이 홍보 간담회,10,"278,000 ",제로페이,시책
17,담당자,2022-05-23,20:07:29,육화식당 목동직영점,양천TV 기획영상 촬영 간담회,9,"180,000 ",제로페이,시책
18,언론팀장,2022-05-24,20:46:31,섬어부밥상,여름철 식중독 예방 점검 홍보 간담회,10,"228,000 ",법인카드,시책
19,담당자,2022-05-24,11:39:02,바르다김선생(오목교역점),양천 둘레길 기획영상 촬영 간담회,6,"43,800 ",제로페이,시책
20,담당자,2022-05-25,11:53:56,행컵,양천TV 기획영상 촬영 간담회,6,"45,200 ",법인카드,시책
21,담당자,2022-05-25,12:00:03,컴포즈커피　목동점,양천TV 기획영상 촬영 간담회,2,"15,500 ",법인카드,시책
22,담당자,2022-05-25,13:38:00,농업회사법인아이쿱친,소식지편집위원회 정례회의 다과비,10,"31,250 ",법인카드,시책
23,언론팀장,2022-05-25,18:58:01,육화식당,실버인지 프로그램 전문가 과정 운영 홍보 간담회,10,"228,000 ",법인카드,시책
24,언론팀장,2022-05-26,11:55:34,대보름,마음건강검진 무료상담 지원 홍보 간담회,3,"26,000 ",법인카드,시책
25,담당자,2022-05-26,12:27:18,억조1978,상징조형물 관련 기획회의 간담회,6,"153,000 ",제로페이,시책
26,담당자,2022-05-27,12:52:52,현경목동점,어린이 건강챌린지 프로그램 홍보 간담회,8,"161,000 ",제로페이,시책
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
