2022-01-06 14:38,메밀이 생각날때,4,30000
2022-01-27 12:27,뽕잎냉면 샤브샤브 칼국수,5,70000
2022-01-12 20:46,황칠나라강강수올래,3,66000
2022-01-14 10:49,여미향 망개떡 서대,'-,60200
2022-01-18 12:32,베트남 포 탄마이 쌀국수,4,39000
2022-01-20 12:36,시골홍두깨칼국수,4,32000
2022-01-24 19:39,보리네 생고깃간,6,165000
2022-01-25 19:50,보리네생고깃간,6,156000
2022-01-27 12:04,녹파랑,4,50000
2022-01-28 12:26,행복나무 F&B,6,72000
2022-01-06 12:11,행복나무 F&B,4,26000
2022-01-07 12:04,빈티지204,4,35000
2022-01-10 11:47,이부장 스시,4,108500
2022-01-11 12:04,칡산에황제보쌈,3,30000
2022-01-12 12:05,이병태함흥냉면,3,37000
2022-01-13 12:41,정선할매,3,80000
2022-01-14 12:42,이부장 스시,3,29000
2022-01-17 12:00,토박이 부대찌개 전문점,4,100000
2022-01-17 19:33,참치애난,4,57000
2022-01-19 12:48,보리네 생고깃간,6,115000
2022-01-20 11:06,여미향망개떡서대문점,'-,180000
2022-01-20 11:53,써브웨이은평구청점,2,24900
2022-01-21 19:02,보리네 생고깃간,6,172000
2022-01-25 12:25,경복궁 녹번점,3,75000
2022-01-25 14:09,진흥마켓,'-,320230
2022-01-25 12:38,주식회사 아스터리테,5,83800
2022-01-26 18:45,(주)섬진강참숯민물,4,66000
2022-01-27 18:29,보리네 생고깃간,6,155000
2022-01-28 12:19,정선할매,6,120000
2022-01-10 12:12,뽕잎냉면샤브샤브칼국수,4,44000
2022-01-12 12:43,차이웬,4,92000
2022-01-13 11:51,토박이부대찌개전문점,3,24000
2022-01-17 12:14,빈티지204,5,75200
2022-01-19 12:07,참치애난,3,28000
2022-01-21 12:43,오이삐,5,66000
2022-01-25 12:13,빈티지204,6,40000
2022-01-26 11:29,대호상사,-,33000
2022-01-10 20:02,황칠나라강강수올래,4,120000
2022-02-04 11:51,정선할매,4,48000
2022-02-25 12:41,행복나무 F&B,6,90000
2022-02-07 12:23,최부자,4,50000
2022-02-09 19:19,오이삐,4,59000
2022-02-10 11:44,이부장 스시,3,54000
2022-02-10 19:48,누구나홀딱반한닭,4,71800
2022-02-11 12:09,칡산에 황제보쌈,4,72000
2022-02-14 11:44,광동상사(은평),'-,90000
2022-02-15 12:04,보리네 생고깃간,4,38000
2022-02-15 18:18,최부자,5,112000
2022-02-16 12:37,뽕잎냉면 샤브샤브 칼국수,5,84000
2022-02-17 12:29,소담,6,113000
2022-02-18 12:29,설악추어탕한모둠순대국,6,75000
